cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1400456;Pacaraima ;RR;47848;52784;59741;57451;63898;74824;84886;86630;102814;109556;115388;131072;139438;145930;164379;171778;204457
1400472;Rorainópolis ;RR;77288;86086;97653;114708;135055;153638;183780;213930;241465;282703;308534;403929;436625;467660;501717;530590;547425
1400506;São João da Baliza ;RR;23477;27445;30040;35444;36550;42852;50617;60867;66010;81867;89964;109951;116628;124280;140162;155127;177730
1400605;São Luiz ;RR;24738;27692;31089;34893;40044;39102;43120;49580;59706;67668;74577;93160;94081;100434;110517;119130;139073
1400704;Uiramutã ;RR;18819;19945;20864;24523;27422;35073;41113;47981;55010;65905;69882;81508;86482;97451;103629;116502;111043
1500107;Abaetetuba ;PA;224354;247947;295111;320742;362883;415535;458889;509254;583793;709884;798053;891428;1056559;1192555;1246639;1337353;1413838
1500131;Abel Figueiredo ;PA;32523;30115;32332;36337;37205;49544;45160;51963;53599;63785;44328;57573;69372;66599;76699;80633;82210
1500206;Acará ;PA;197106;267707;252212;311642;357400;427526;352565;418856;440767;503716;506916;871619;577256;640890;789271;932175;914142
1500305;Afuá ;PA;85243;83129;90678;90649;93692;103796;121092;133902;161293;190906;232238;262214;301313;324962;318316;358271;357844
1500347;Água Azul do Norte ;PA;60186;72754;90937;168671;222295;190861;211249;184284;180873;209295;224992;287540;320451;379314;432588;443365;423047
1500404;Alenquer ;PA;100785;117489;131789;137816;144580;178153;214101;269353;361813;360713;364445;560154;531842;518610;660477;609255;566773
1500503;Almeirim ;PA;333435;362606;410386;399393;429743;424198;536320;379854;576867;527859;467571;454918;502847;475344;590295;666123;591585
1500602;Altamira ;PA;284447;316440;377712;410774;444963;600500;640103;690687;842408;1288182;2206576;3094031;3948811;3201408;2497078;2501060;2722307
1500701;Anajás ;PA;34141;35357;38406;48705;52570;64439;71020;85336;95376;113267;130357;154237;167161;180985;180704;204751;206819
1500800;Ananindeua ;PA;1356575;1509870;1956077;2242831;2694744;3045502;3346302;3539806;4100513;4631459;5114549;4900297;5772894;6222672;6718793;6980443;7523457
1500859;Anapu ;PA;32829;41076;48623;54932;55121;70277;83946;87656;111551;137034;179067;209864;257292;302093;310094;351211;368918
1500909;Augusto Corrêa ;PA;50500;57447;62338;71999;79482;95526;108443;111845;133308;169584;203750;253554;251669;287174;309983;332780;305846
1500958;Aurora do Pará ;PA;63534;78606;90668;110875;84864;99740;96127;109004;212961;185990;176413;230601;240324;257268;298798;277394;260843
1501006;Aveiro ;PA;18399;20479;24779;32473;33157;42617;53191;59929;55948;66434;67953;87332;91998;97996;120567;144716;118079
1501105;Bagre ;PA;27952;31193;33535;38244;41018;51472;54468;63327;78845;88672;102506;141329;139405;147607;164989;176250;207936
1501204;Baião ;PA;54812;61625;64814;77577;89625;99713;106934;123005;169274;195523;203189;258691;258860;307389;338690;356595;346807
1501253;Bannach ;PA;26641;32772;36015;30472;28920;25361;27256;27694;34215;42043;46793;51382;58625;68221;79721;76465;78144
1501303;Barcarena ;PA;1146810;1152762;1563329;1608708;2043291;2288793;2313664;2076760;2227150;2460398;2006449;2658972;3902985;5513144;5014169;4818669;4737587
1501402;Belém ;PA;8004081;9106087;11024247;11514766;13137025;14368248;15803597;17294868;18801039;21426847;26362015;27139286;28687488;29215036;29466894;30244780;31484849
1501451;Belterra ;PA;27740;42468;54220;65432;66569;71532;80642;97784;109871;161153;150486;268532;251577;140052;151832;158065;159192
1501501;Benevides ;PA;148879;162179;187978;227484;317338;469248;513538;492659;580847;667844;794372;921749;1050325;1202057;1291065;1394023;1589870
1501576;Bom Jesus do Tocantins ;PA;31131;36792;44327;45702;47184;50501;61463;66636;86836;94171;84493;106169;121145;134478;153703;164637;176017
1501600;Bonito ;PA;16822;20165;25186;25881;26298;28329;38080;45452;56788;54910;54941;79527;81445;86352;108500;136290;151796
1501709;Bragança ;PA;182841;212262;240536;255689;303425;357014;395128;433293;509272;612982;756414;978372;912212;976997;1047905;1116023;1127832
1501725;Brasil Novo ;PA;52745;61316;66701;68173;72270;80990;85319;97197;104504;129814;129297;158513;181892;208756;228905;240063;251874
1501758;Brejo Grande do Araguaia ;PA;17019;21057;27284;28964;27214;26414;26272;30930;35204;39925;41223;49628;56859;64269;76450;80573;78180
1501782;Breu Branco ;PA;158705;171613;206434;216607;224255;257970;366328;270546;534052;615403;409761;473702;557970;518458;537286;580409;569751
1501808;Breves ;PA;176537;197410;251985;246571;250340;295801;293398;338524;363440;425659;503024;555397;621581;653059;671417;743334;813768
1501907;Bujaru ;PA;84746;105245;121914;137792;178527;157022;162683;189747;228097;238240;287636;446363;380781;394742;481727;498799;453283
1501956;Cachoeira do Piriá ;PA;27048;30038;31352;34509;38280;46166;52168;55499;76673;93804;100614;139360;142851;151957;171922;188110;179439
1502004;Cachoeira do Arari ;PA;32787;35512;39235;43510;46773;48822;58367;67879;78541;100791;119908;143118;146582;159323;169530;172484;183310
1502103;Cametá ;PA;226174;237645;221070;259798;283335;325540;355218;408615;475011;555606;617316;738755;848524;987906;1138431;1183561;1136608
1502152;Canaã dos Carajás ;PA;69857;146316;465099;581460;630993;634934;1234877;710918;2120092;2947457;3207827;3483478;2802921;3478390;2396141;4089225;7106814
1502202;Capanema ;PA;231999;236666;270842;287656;347131;387578;460563;518082;601464;670998;671582;828515;914174;958387;985323;967493;1027476
